name,price,size,area,url,monthly_fee,date_sold,rooms,type,price_per_m2,area_price_per_m2
Sankt Eriks­plan 13,5075000,48.0, Vasastan,https://www.booli.se/annons/4665968,2541.0,20220824,1.5,Lägenhet,105729.17,116628.0
Alströmer­gatan 8B,7600000,69.0, Kungsholmen,https://www.booli.se/annons/4726806,2750.0,20220824,3.0,Lägenhet,110144.93,103045.0
Hunnebergs­vägen 13,3655000,51.0, Bromma,https://www.booli.se/annons/4728817,3032.0,20220824,3.0,Lägenhet,71666.67,63108.0
Artilleri­gatan 29,3650000,26.0, Östermalm,https://www.booli.se/annons/4697646,1166.0,20220824,1.0,Lägenhet,140384.62,130278.0
Fredriksdals­gatan 20,3995000,48.0, Hammarby Sjöstad,https://www.booli.se/annons/4691734,2834.0,20220824,2.0,Lägenhet,83229.17,86806.0
Sareks­vägen 11,3310000,47.0, Bromma,https://www.booli.se/bostad/3891446,2279.0,20220824,2.0,Lägenhet,70425.53,63108.0
Finn Malmgrens väg 6,4025000,54.0, Hammarbyhöjden,https://www.booli.se/annons/4710382,3496.0,20220824,3.0,Lägenhet,74537.04,71551.0
Sankt Eriks­gatan 39,3050000,25.0, Kungsholmen,https://www.booli.se/bostad/720883,731.0,20220824,1.0,Lägenhet,122000.0,103045.0
Virkes­vägen 9C,5100000,74.5, Hammarby Sjöstad,https://www.booli.se/bostad/4199317,3916.0,20220824,2.0,Lägenhet,68456.38,86806.0
Helsingörs­gatan 14,1495000,36.5, Kista,https://www.booli.se/bostad/432883,2886.0,20220824,1.0,Lägenhet,40958.9,37191.0
Grev Ture­gatan 80,7100000,60.0, Östermalm,https://www.booli.se/annons/4719785,2332.0,20220824,2.0,Lägenhet,118333.33,130278.0
Brev­vägen 7,2900000,49.0, Svedmyra,https://www.booli.se/annons/4688641,2803.0,20220824,2.0,Lägenhet,59183.67,59549.0
Love Almqvists väg 4A,4230000,47.5, Kungsholmen,https://www.booli.se/bostad/371971,3611.0,20220824,2.0,Lägenhet,89052.63,103045.0
Ola Hanssons­gatan 4,3920000,50.0, Kristineberg,https://www.booli.se/bostad/372046,3216.0,20220824,2.0,Lägenhet,78400.0,97732.0
Björkbacks­vägen 44,2450000,46.5, Bromma,https://www.booli.se/annons/4719650,4141.0,20220818,2.0,Lägenhet,52688.17,63108.0
Grev Magni­gatan 10A,6100000,44.0, Östermalm,https://www.booli.se/annons/4735561,2142.0,20220824,2.0,Lägenhet,138636.36,130278.0
Sandels­gatan 12,7800000,75.5, Nedre Gärdet,https://www.booli.se/bostad/69256,3507.0,20220824,3.0,Lägenhet,103311.26,109260.0
Pontonjär­gatan 18,3990000,38.0, Kungsholmen,https://www.booli.se/annons/4693062,2335.0,20220823,2.0,Lägenhet,105000.0,103045.0
Glasmålar­vägen 6,3600000,67.0, Enskede,https://www.booli.se/annons/4112549,3138.0,20220824,3.0,Lägenhet,53731.34,63364.0
Ågesta Bro­väg 46,3950000,80.0, Farsta,https://www.booli.se/annons/4697551,4605.0,20220824,3.0,Lägenhet,49375.0,47079.0
Luntmakar­gatan 75,6650000,66.0, Vasastan,https://www.booli.se/annons/4709019,3065.0,20220824,2.0,Lägenhet,100757.58,116628.0
Sankt Görans­gatan 153,2300000,22.5, Kungsholmen,https://www.booli.se/annons/4601272,1838.0,20220824,1.0,Lägenhet,102222.22,103045.0
Kavelbro­vägen 8,5050000,81.0, Långbro Park,https://www.booli.se/bostad/633211,4787.0,20220824,3.0,Lägenhet,62345.68,69308.0
