name,price,size,area,url,monthly_fee,date_sold
Sankt Eriks­plan 13,5 075 000 kr,"48 m², 1½ rum","Lägenhet, Vasastan",https://www.booli.se/annons/4665968,2 541 kr/mån,2022-08-24
Alströmer­gatan 8B,7 600 000 kr,"69 m², 3 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4726806,2 750 kr/mån,2022-08-24
Hunnebergs­vägen 13,3 655 000 kr,"51 m², 3 rum","Lägenhet, Bromma",https://www.booli.se/annons/4728817,3 032 kr/mån,2022-08-24
Artilleri­gatan 29,3 650 000 kr,"26 m², 1 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4697646,1 166 kr/mån,2022-08-24
Fredriksdals­gatan 20,3 995 000 kr,"48 m², 2 rum","Lägenhet, Hammarby Sjöstad",https://www.booli.se/annons/4691734,2 834 kr/mån,2022-08-24
Sareks­vägen 11,3 310 000 kr,"47 m², 2 rum","Lägenhet, Bromma",https://www.booli.se/bostad/3891446,2 279 kr/mån,2022-08-24
Finn Malmgrens väg 6,4 025 000 kr,"54 m², 3 rum","Lägenhet, Hammarbyhöjden",https://www.booli.se/annons/4710382,3 496 kr/mån,2022-08-24
Sankt Eriks­gatan 39,3 050 000 kr,"25 m², 1 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/720883,731 kr/mån,2022-08-24
Virkes­vägen 9C,5 100 000 kr,"74½ m², 2 rum","Lägenhet, Hammarby Sjöstad",https://www.booli.se/bostad/4199317,3 916 kr/mån,2022-08-24
Helsingörs­gatan 14,1 495 000 kr,"36½ m², 1 rum","Lägenhet, Kista",https://www.booli.se/bostad/432883,2 886 kr/mån,2022-08-24
Grev Ture­gatan 80,7 100 000 kr,"60 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4719785,2 332 kr/mån,2022-08-24
Brev­vägen 7,2 900 000 kr,"49 m², 2 rum","Lägenhet, Svedmyra",https://www.booli.se/annons/4688641,2 803 kr/mån,2022-08-24
Love Almqvists väg 4A,4 230 000 kr,"47½ m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/371971,3 611 kr/mån,2022-08-24
Ola Hanssons­gatan 4,3 920 000 kr,"50 m², 2 rum","Lägenhet, Kristineberg",https://www.booli.se/bostad/372046,3 216 kr/mån,2022-08-24
Björkbacks­vägen 44,2 450 000 kr,"46½ m², 2 rum","Lägenhet, Bromma",https://www.booli.se/annons/4719650,4 141 kr/mån,2022-08-18
Grev Magni­gatan 10A,6 100 000 kr,"44 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4735561,2 142 kr/mån,2022-08-24
Klas Klättermus gata 12,8 900 000 kr,"186 m², 7 rum","Radhus, Bromma",https://www.booli.se/bostad/1691669,N/A,2022-08-24
Sandels­gatan 12,7 800 000 kr,"75½ m², 3 rum","Lägenhet, Nedre Gärdet",https://www.booli.se/bostad/69256,3 507 kr/mån,2022-08-24
Pontonjär­gatan 18,3 990 000 kr,"38 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4693062,2 335 kr/mån,2022-08-23
Glasmålar­vägen 6,3 600 000 kr,"67 m², 3 rum","Lägenhet, Enskede",https://www.booli.se/annons/4112549,3 138 kr/mån,2022-08-24
Ågesta Bro­väg 46,3 950 000 kr,"80 m², 3 rum","Lägenhet, Farsta",https://www.booli.se/annons/4697551,4 605 kr/mån,2022-08-24
Luntmakar­gatan 75,6 650 000 kr,"66 m², 2 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4709019,3 065 kr/mån,2022-08-24
Sankt Görans­gatan 153,2 300 000 kr,"22½ m², 1 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4601272,1 838 kr/mån,2022-08-24
Viltorps­backen 39,4 950 000 kr,"116 m², 5 rum","Radhus, Vinsta",https://www.booli.se/bostad/2204317,N/A,2022-08-24
Kavelbro­vägen 8,5 050 000 kr,"81 m², 3 rum","Lägenhet, Långbro Park",https://www.booli.se/bostad/633211,4 787 kr/mån,2022-08-24
Baltzar von Platens gata 7C,5 200 000 kr,"50 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4735165,1 037 kr/mån,2022-08-24
Svandamms­vägen 17A,3 300 000 kr,"51 m², 2 rum","Lägenhet, Midsommarkransen",https://www.booli.se/bostad/399511,3 787 kr/mån,2022-08-24
Glava­gatan 15,2 375 000 kr,"59 m², 3 rum","Lägenhet, Farsta Strand",https://www.booli.se/bostad/393470,4 071 kr/mån,2022-08-24
Katarina Ban­gata 54,8 325 000 kr,"78 m², 3 rum","Lägenhet, Katarina",https://www.booli.se/annons/4194990,3 756 kr/mån,2022-08-24
Fredriksdals­gatan 18,3 775 000 kr,"34 m², 1½ rum","Lägenhet, Hammarby Sjöstad",https://www.booli.se/annons/4724724,1 985 kr/mån,2022-08-24
Nybohovs­gränd 46,4 200 000 kr,"78 m², 3 rum","Lägenhet, Liljeholmen",https://www.booli.se/bostad/687230,3 596 kr/mån,2022-08-24
Schlyters­vägen 69,4 100 000 kr,"56 m², 3 rum","Lägenhet, Aspudden",https://www.booli.se/bostad/3999667,2 703 kr/mån,2022-08-24
Solbergs­vägen 45,1 995 000 kr,"32 m², 1 rum","Lägenhet, Bromma",https://www.booli.se/annons/4619859,2 378 kr/mån,2022-08-24
Lunda­gatan 48B,3 075 000 kr,"28 m², 1½ rum","Lägenhet, Södermalm",https://www.booli.se/bostad/664043,1 541 kr/mån,2022-08-23
Langelands­gatan 11,2 060 000 kr,"76½ m², 3 rum","Lägenhet, Kista",https://www.booli.se/bostad/652893,5 052 kr/mån,2022-08-24
Vinodlar­gatan 6,8 500 000 kr,"100 m², 5 rum","Lägenhet, Liljeholmskajen",https://www.booli.se/annons/4687885,5 596 kr/mån,2022-08-23
Pelar­gatan 7,3 500 000 kr,"60 m², 2 rum","Lägenhet, Johanneshov",https://www.booli.se/bostad/698150,2 857 kr/mån,2022-08-24
Garage­vägen 26,4 255 000 kr,"60½ m², 2 rum","Lägenhet, Blåsut",https://www.booli.se/bostad/4101733,3 117 kr/mån,2022-08-24
Västmanna­gatan 22,2 925 000 kr,"26 m², 1 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4727824,1 176 kr/mån,2022-08-23
Fregatt­vägen 50,3 050 000 kr,"44½ m², 2 rum","Lägenhet, Gröndal",https://www.booli.se/annons/4724648,N/A,2022-08-12
Krukmakar­gatan 50A,5 650 000 kr,"62 m², 2 rum","Lägenhet, Högalid",https://www.booli.se/annons/4678644,N/A,2022-08-23
Gävle­gatan 11,3 975 000 kr,"38 m², 1½ rum","Lägenhet, Vasastan",https://www.booli.se/annons/4692184,1 452 kr/mån,2022-08-18
Torsten Alms gata 7,2 725 000 kr,"38 m², 1 rum","Lägenhet, Hägersten",https://www.booli.se/annons/4705621,1 931 kr/mån,2022-08-06
Östgöta­gatan 32,3 275 000 kr,"24 m², 1 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4732239,850 kr/mån,2022-08-24
Skridsko­vägen 9C,4 950 000 kr,"88 m², 4 rum","Lägenhet, Västertorp",https://www.booli.se/annons/4733592,5 116 kr/mån,2022-08-23
Sankt Eriks­gatan 103,12 750 000 kr,"106 m², 4 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4660847,3 670 kr/mån,2022-08-24
Rådmans­gatan 46,2 625 000 kr,"25 m², 1 rum","Lägenhet, Norrmalm",https://www.booli.se/annons/4727915,2 006 kr/mån,2022-08-24
Roslags­gatan 55,4 010 000 kr,"35½ m², 1½ rum","Lägenhet, Vasastan",https://www.booli.se/annons/4733930,1 972 kr/mån,2022-08-24
Krukmakar­gatan 56,5 995 000 kr,"66 m², 3 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4727460,2 867 kr/mån,2022-08-23
Suddagummans gata 10,3 250 000 kr,"65 m², 2 rum","Lägenhet, Bromma",https://www.booli.se/bostad/3980302,4 060 kr/mån,2022-08-24
Igeldamms­gatan 10,5 625 000 kr,"55 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/131165,3 026 kr/mån,2022-08-23
Granskogs­vägen 27,3 375 000 kr,"82 m², 3 rum","Parhus, Hässelby",https://www.booli.se/annons/4668598,3 800 kr/mån,2022-08-22
Årsta­vägen 71,3 000 000 kr,"44½ m², 2 rum","Lägenhet, Årsta",https://www.booli.se/annons/4727228,3 127 kr/mån,2022-08-24
Textil­gatan 23,7 800 000 kr,"83 m², 4½ rum","Lägenhet, Hammarby Sjöstad",https://www.booli.se/bostad/3995740,4 505 kr/mån,2022-08-24
Fägrings­brinken 23,5 970 000 kr,"159 m², 7 rum","Villa, Spånga",https://www.booli.se/bostad/2202869,N/A,2022-08-24
Kungssätra­vägen 60,3 150 000 kr,"76 m², 3 rum","Lägenhet, Sätra",https://www.booli.se/annons/4717164,3 971 kr/mån,2022-08-24
Rödabergs­brinken 10,3 680 000 kr,"40 m², 1 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4722130,2 372 kr/mån,2022-08-24
Trollesunds­vägen 161,1 750 000 kr,"31 m², 1 rum","Lägenhet, Högdalen",https://www.booli.se/annons/4725905,1 721 kr/mån,2022-08-23
Pippi Långstrumps gata 39,5 650 000 kr,"106 m², 4 rum","Lägenhet, Bromma",https://www.booli.se/annons/4656150,4 970 kr/mån,2022-08-24
Folkunga­gatan 63,6 000 000 kr,"51 m², 2 rum","Lägenhet, Södermalm",https://www.booli.se/bostad/150136,2 618 kr/mån,2022-08-23
Hjärne­gatan 8,4 300 000 kr,"46½ m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/4210625,1 946 kr/mån,2022-08-23
Filipstads­backen 68,2 500 000 kr,"58½ m², 2 rum","Lägenhet, Farsta Strand",https://www.booli.se/annons/4712805,3 962 kr/mån,2022-08-22
Gröndals­vägen 50,4 700 000 kr,"68 m², 3 rum","Lägenhet, Gröndal",https://www.booli.se/annons/4601088,3 905 kr/mån,2022-08-24
Hallebergs­vägen 25,4 150 000 kr,"66 m², 3 rum","Lägenhet, Bromma",https://www.booli.se/annons/4537518,4 223 kr/mån,2022-08-24
Bengt Bagares gränd 2A,3 375 000 kr,"73½ m², 3 rum","Lägenhet, Sköndal",https://www.booli.se/annons/4693076,4 083 kr/mån,2022-08-23
Russin­vägen 2,3 400 000 kr,"75 m², 3 rum","Lägenhet, Hökarängen",https://www.booli.se/annons/4707149,3 985 kr/mån,2022-08-23
Russin­vägen 14,3 120 000 kr,"67 m², 3 rum","Lägenhet, Hökarängen",https://www.booli.se/annons/4659355,4 721 kr/mån,2022-06-16
Kubbe­gatan 19,3 300 000 kr,"71 m², 3 rum","Lägenhet, Sköndal",https://www.booli.se/annons/4730174,3 850 kr/mån,2022-08-24
Bäckbornas väg 29,2 800 000 kr,"66½ m², 3 rum","Lägenhet, Bromma",https://www.booli.se/annons/4727314,3 921 kr/mån,2022-08-23
Kinnekulle­vägen 26,2 500 000 kr,"34 m², 1 rum","Lägenhet, Bromma",https://www.booli.se/annons/4732918,2 505 kr/mån,2022-08-24
Cirkel­vägen 28,2 750 000 kr,"46½ m², 2 rum","Lägenhet, Gubbängen",https://www.booli.se/bostad/4043881,3 073 kr/mån,2022-08-23
Pil­gatan 26A,6 200 000 kr,"69 m², 2½ rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/698873,4 547 kr/mån,2022-08-23
Bjurholms­gatan 10,8 950 000 kr,"80 m², 3 rum","Lägenhet, Södermalm",https://www.booli.se/bostad/145763,N/A,2022-08-23
Grönbete­vägen 86,4 275 000 kr,"103 m², 4 rum","Radhus, Hässelby Villastad",https://www.booli.se/bostad/1613402,N/A,2022-08-24
Timmermans­gatan 44,2 350 000 kr,"25 m², 1 rum","Lägenhet, Maria",https://www.booli.se/bostad/126569,1 532 kr/mån,2022-08-24
Arvodes­vägen 17,4 400 000 kr,"70 m², 3½ rum","Lägenhet, Hägerstensåsen",https://www.booli.se/bostad/139470,2 576 kr/mån,2022-08-24
Kransbindar­vägen 35,2 500 000 kr,"35 m², 1 rum","Lägenhet, Midsommarkransen",https://www.booli.se/annons/4682828,2 235 kr/mån,2022-08-23
Bagarfru­vägen 91,3 600 000 kr,"82 m², 4 rum","Lägenhet, Sköndal",https://www.booli.se/bostad/324270,5 638 kr/mån,2022-08-23
Torsby­gatan 18,2 550 000 kr,"62 m², 2 rum","Lägenhet, Farsta",https://www.booli.se/annons/4709690,3 176 kr/mån,2022-08-23
Åsögatan 92,3 600 000 kr,"34 m², 2 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4690162,2 021 kr/mån,2022-08-23
Sigtuna­gatan 14A,3 550 000 kr,"34 m², 1 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4723065,1 264 kr/mån,2022-08-23
Mose­backe Torg 14,4 850 000 kr,"52 m², 2 rum","Lägenhet, Katarina",https://www.booli.se/annons/4725315,2 847 kr/mån,2022-08-19
Hälsinge­höjden 11,8 300 000 kr,"61 m², 2 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4732478,2 359 kr/mån,2022-08-23
Völunds­gatan 12,7 665 000 kr,"73 m², 3 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4727326,1 811 kr/mån,2022-08-23
Inedals­gatan 1,6 700 000 kr,"71 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4660173,2 379 kr/mån,2022-08-23
